mainParentCategoryId,shopId,shopType,shopName,branchName,phoneNo,phoneNo2,cityId,shopGroupId,altName,businessHours,score,avgPrice,score4,defaultReviewCount,shopPower,code,dishTagStrList,tag
111,74952823,10,串梦空间,丰台万达广场店,57220220,,2,74952823,,"周一至周日
10:00-22:00","口味:6.2,环境:7.0,服务:7.2",104,0,636,30,200,,"海鲜棒:32,回头客:11,牛肉赞:11,上菜快:8,干净卫生:7,停车免费:3,高大上:3,现做现卖:10,朋友聚餐:7,家庭聚餐:3"
157,74620362,50,米琳造型,丰台万达广场店,15311817585,,2,28609784,,"周二至周日
10:00-22:00","效果:8.7,环境:8.6,服务:8.7",135,0,40,45,200,,"剪发效果好:11,服务热情:10,效果赞:9,染发效果好:6,技师专业:4,性价比高:4"
128,75005373,20,宝岛眼镜,丰台万达广场店,63726809,,2,75005373,,"周一至周日
10:00-22:00","产品:8.2,环境:8.3,服务:8.2",769,0,29,40,200,,"服务热情:13,环境优雅:3,体验很棒:3"
25147,74951068,95,兔子百货,丰台万达广场店,83617056,,2,74951068,,"周一至周日
10:00-22:00","服务:8.0,环境:8.1,划算:7.5",718,0,73,40,200,,"服务热情:10,价格实惠:4,环境优雅:4,狗粮:3"
6709,76874312,45,实感射击体验馆,丰台万达广场店,,,2,76874312,,"周一至周日
09:00-21:00",,0,0,13,35,200,,
33955,97957459,50,苗医生祛痘祛斑.皮肤管理,丰台万达店,13522282139,,2,97957459,,"周一至周日
10:00-21:00","效果:8.2,环境:8.2,服务:8.2",0,0,7,40,200,,服务热情:3
149,97662981,50,EON DANCE STUDIO,丰科万达店,57287920,13403419830,2,66265711,,"周一至周日
10:00-21:00","效果:7.9,环境:7.9,服务:7.9",0,0,10,40,200,,体验课:3
210,74617548,10,袁记小吃,丰科万达广场店,18910081925,,2,74617548,,"周一至周日
09:00-21:00","口味:7.0,环境:7.3,服务:7.2",21,0,176,35,200,,"味道赞:31,肉类好:17,上菜快:7,回头客:6,主食赞:5,干净卫生:4,肉夹馍:105,午餐:25,工作餐:3,分量少:3"
3064,97275449,80,柯达鑫美数码-丰科店,,56202289,,2,97275449,,"周一至周日
10:00-22:00",,71,0,24,45,200,,服务热情:7
117,75008274,10,西树泡芙,丰台万达广场店,18811025663,,2,75008274,,"周一至周日
10:00-21:00","口味:7.3,环境:7.5,服务:7.3",23,0,95,35,200,,"服务热情:15,味道赞:14,回头客:5,价格实惠:3,拔草:3"
217,75008512,10,继光香香鸡,万达广场店,18210407066,13718737337,2,75008512,,"周一至周日
08:00-22:00","口味:7.8,环境:7.8,服务:7.5",25,0,120,35,200,,"味道赞:23,服务热情:13,肉类好:9,菜品不错:7,海鲜棒:5,性价比高:4,炸鸡:51,拔草:3,分量少:4"
104,83572092,10,翠清,,63739019,,2,83572092,,,"口味:6.7,环境:7.2,服务:6.9",109,0,43,30,200,,"味道赞:10,性价比高:4,服务热情:4"
187,96442185,20,永辉超市,丰台万达广场店,63727726,,2,96442185,,"周一至周日
08:00-22:00","产品:7.8,环境:7.5,服务:7.1",78,0,46,35,200,,"价格实惠:8,款式丰富:4,人气旺:4,性价比高:4,体验很棒:3"
120,74951074,20,6IXTY 8IGHT,丰台万达广场店,83817318,,2,74951074,68,"周一至周日
10:00-22:00","产品:8.2,环境:8.0,服务:7.4",0,0,22,35,200,,价格实惠:5
117,95022000,10,魔法私厨蛋糕甜品店,,18511819890,13331151273,2,95022000,,"周一至周日
09:30-22:00","口味:7.0,环境:7.3,服务:7.3",0,0,14,35,200,,服务热情:3
3023,97958521,10,鱼恋虾,,13811867025,,2,97958521,,"周一至周日
10:00-21:00","口味:7.6,环境:7.7,服务:7.9",0,0,11,35,200,,肉类好:3
241,76751683,10,DQ,丰台万达广场店,83603280,,2,76751683,,"周一至周日
10:00-21:00","口味:7.5,环境:7.6,服务:7.4",25,0,98,35,200,,"味道赞:15,服务热情:13,价格实惠:7,性价比高:6,回头客:4,点心好:4,有萌宠:3"
117,74617861,10,北京稻香村,丰台万达广场店,15116969770,,2,74617861,,"周一至周日
08:00-22:00","口味:7.7,环境:7.9,服务:7.6",0,0,41,40,200,,"服务热情:11,点心好:6,味道赞:3,春节:4,复古:3"
1819,97663437,10,小恒水饺,丰科万达店,83615591,,2,97663437,,"周一至周日
09:00-22:00","口味:7.7,环境:8.1,服务:7.8",29,0,64,35,200,,"味道赞:20,服务热情:11,性价比高:6,环境优雅:5,上菜快:3,价格实惠:3,午餐:6"
6827,74617089,90,元懋翔,丰科万达广场店,63720576,83362288-928,2,74617089,,"周一至周日
10:00-22:00",,0,0,32,50,200,,"服务热情:12,环境优雅:3"
33775,74655288,70,巧虎,丰台万达广场店,,,2,74655288,,,"卫生:6.9,趣味:6.9,服务:6.9",0,0,2,35,200,,
112,93171843,10,柒记螺蛳粉,丰台金街店,18810912571,,2,93171843,,"周一至周日
10:00-22:00","口味:6.9,环境:6.8,服务:7.2",25,0,80,30,200,,"味道赞:12,服务差:8"
2818,75008904,55,周生生,丰台万达广场店,4000908610-168461,,2,75008904,,"周一至周日
10:00-22:00",,0,0,15,45,200,,"服务热情:8,体验很棒:3"
1833,96064520,10,royaltea皇茶,丰台万达店,15811195902,,2,96064520,,"周一至周日
08:30-22:00","口味:7.6,环境:7.6,服务:7.6",18,0,92,35,200,,"味道赞:20,饮品赞:15,服务热情:13,性价比高:8,价格实惠:7"
117,75003615,10,面包新语,丰科店,63726796,,2,75003615,,"周一至周日
10:00-22:00","口味:7.5,环境:7.9,服务:7.2",22,0,75,35,200,,"点心好:13,味道赞:13,服务热情:7"
112,97806312,10,义门白家手工酸辣粉,,18623488825,,2,97806312,,"周一至周日
10:00-21:30","口味:6.7,环境:6.7,服务:6.6",26,0,62,30,200,,"味道赞:6,回头客:3,体验很棒:3,钵钵鸡:5,午餐:4"
137,83519522,30,Play家庭娱乐中心,丰台万达广场店,,,2,83519522,,"周一至周日
10:00-22:00",,0,0,19,35,200,,刺激好玩:7
123,75008901,50,SEPHORA,丰台万达广场店,63799166,,2,75008901,,"周一至周日
10:00-22:00","效果:7.4,环境:7.4,服务:7.1",0,0,13,35,200,,服务热情:3
2994,95040318,70,易轮滑少儿运动中心,万达广场店,13051738082,,2,66057581,,"周一至周日
10:00-22:00","效果:7.9,师资:7.9,环境:7.3",0,0,10,40,200,,老师超赞:6
1833,74952835,10,Eimio爱咪欧冻酸奶,万达广场店,63780850,,2,74952835,,"周一至周日
10:00-22:00","口味:7.9,环境:8.1,服务:8.0",25,0,70,40,200,,"服务热情:13,味道赞:10,饮品赞:4,价格实惠:3,性价比高:3"
2974,93110932,80,天衣无缝裁缝店,丰台万达广场店,18210111439,,2,93110932,,"周一至周日
09:30-21:30",,0,0,6,40,200,,
33924,76905577,10,鲜品萃mini回转寿司,丰台万达广场店,13366754104,,2,76905577,,"周一至周日
11:00-22:00","口味:6.5,环境:6.8,服务:6.9",66,0,116,30,200,,"味道赞:24,服务热情:18,价格实惠:11,性价比高:10,菜品不错:6,回头客:4,午餐:12,沙拉:3,肉类差:6,上菜慢:3"
34034,74617792,50,诺曼姿身心灵健康驿站,丰台丰科万达广场店,83678376,,2,76870292,,"周一至周日
09:00-21:00","效果:7.8,环境:7.9,服务:8.3",0,0,52,40,200,,"技师专业:4,环境优雅:3,服务热情:3"
1833,97693587,10,黑研舍,万达金街店,13426000525,,2,97693587,,"周一至周日
10:00-20:00","口味:7.0,环境:7.3,服务:7.0",0,0,5,35,200,,
137,96732139,30,万达金街商区zzw娃娃店,,13910383533,,2,96732139,,"周一至周日
11:30-22:00",,0,0,7,35,200,,
33845,98696494,45,VIDA运动馆,丰台万达广场店,15001218008,,2,58604622,,"周一,周日
10:00-22:00","设施:7.7,环境:7.7,服务:7.7",0,0,2,35,200,,
34072,102366381,65,美车时代汽车装饰中心,丰台店,13611307886,,2,22406320,,"周一至周日
09:00-21:00",,0,0,11,35,200,,
217,98245778,10,吃惑,丰科万达金街店,17361560427,17361560426,2,98245778,,"周一至周日
10:00-22:00

非营业时段
2018-02-12至2018-02-27 全天","口味:7.2,环境:7.2,服务:7.2",0,0,3,35,200,,
1833,76720466,10,四云奶盖贡茶,丰台万达广场店,15611090012,,2,76720466,,"周一至周日
10:00-21:00","口味:7.4,环境:7.4,服务:7.0",22,0,106,35,200,,"饮品赞:22,味道赞:14,服务热情:9,性价比高:3,午餐:3"
2816,74618556,55,周大福,丰台万达广场店,4000908610-224676,,2,74618556,,"周一至周日
10:00-22:00",,0,0,18,40,200,,
1833,98063356,10,乌茶邦,丰台万达金街店,13581635386,,2,98063356,,"周一至周日
09:30-22:00","口味:7.4,环境:7.5,服务:7.5",0,0,16,35,200,,"服务热情:4,饮品赞:3"
222,76870144,10,周黑鸭,北京丰科万达店,4001717917,,2,2730043,,,"口味:7.5,环境:7.4,服务:7.3",39,0,20,35,200,,"味道赞:4,服务热情:3"
120,75008501,20,hotwind,丰台万达广场店,63717376,,2,75008501,热风,"周一至周日
10:00-22:00","产品:7.6,环境:7.4,服务:7.4",0,0,16,35,200,,服务热情:3
210,97760426,10,多米巷,,15910799487,,2,97760426,,"周一至周日
09:00-21:30","口味:7.4,环境:7.5,服务:7.3",0,0,14,35,200,,
160,93650399,50,Mx焕颜美妆美甲美睫,丰台科技园万达店,15330255247,,2,20950985,,"周一至周日
10:00-22:00","效果:7.5,环境:7.5,服务:7.6",0,0,23,35,200,,"服务热情:5,性价比高:3,手部美甲:5,美睫:4"
4473,74448190,10,蜀江烤鱼,丰科万达广场店,83683536,,2,74448190,,"周一至周日
10:00-22:00","口味:6.2,环境:7.0,服务:6.5",93,0,388,30,200,,"味道赞:49,服务热情:49,海鲜棒:11,回头客:7,价格实惠:7,环境优雅:5,干净卫生:4,菜品差:22,上菜慢:11,分量少:7"
1833,74945624,10,快乐柠檬,丰台万达广场店,,,2,74945624,,"周一至周日
10:00-22:00","口味:6.7,环境:6.8,服务:6.8",16,0,95,30,200,,"味道赞:19,饮品赞:11,服务热情:8,性价比高:5,回头客:3,价格实惠:3"
121,83520493,20,耐克YOUNGATHLETES,丰台万达广场店,,,2,83520493,,"周一至周日
10:00-22:00","产品:7.1,环境:7.1,服务:7.1",0,0,2,35,200,,
1811,74953030,10,三元梅园,丰台万达广场店,83621462,,2,74953030,,"周一至周日
10:00-22:00","口味:6.7,环境:7.2,服务:6.9",20,0,104,30,200,,"味道赞:18,点心好:11,服务热情:9,饮品赞:6,回头客:3,性价比高:3,午餐:3,价格高:3"
157,97614761,50,美奇丝私人定制,通州万达店,15210798804,,2,37931219,,"周一至周日
11:00-20:00","效果:8.1,环境:7.7,服务:8.1",0,0,6,40,200,,
123,75008711,50,Innisfree,丰台万达广场店,,,2,75008711,悦诗风吟,"周一至周日
10:00-22:00","效果:7.3,环境:7.3,服务:7.3",0,0,7,35,200,,服务热情:3
121,74952385,20,VANS,丰科万达广场店,,,2,74952385,范斯|万斯,"周一至周日
10:00-22:00","产品:7.7,环境:7.9,服务:6.8",0,0,14,35,200,,服务热情:3
27809,74654087,70,NIKE KIDS,丰台万达广场店,63725106,,2,74654087,,"周一至周日
10:00-22:00",,0,0,3,35,200,,
27809,74633972,70,丽家宝贝,丰台万达广场店,83816253,,2,74633972,,"周一至周日
10:00-22:00",,0,0,7,35,200,,
123,90306282,50,屈臣氏,丰台万达店,83689150,,2,90306282,,"周一至周日
10:00-22:00","效果:6.7,环境:7.1,服务:6.6",0,0,17,30,200,,服务热情:5
34124,75008504,20,酷乐潮玩,丰台万达广场店,83689570,,2,75008504,,"周一至周日
10:00-22:00","产品:7.5,环境:7.5,服务:7.2",0,0,8,35,200,,
112,98504830,10,长盛源老四川小吃,丰田万达广场金街店,15210077841,,2,98504830,,"周一至周日
10:00-20:00","口味:7.7,环境:7.7,服务:7.7",0,0,5,35,200,,
1833,80993716,10,如思云品,丰科万达店,18401793282,,2,80993716,,"周一至周日
10:00-22:00","口味:7.2,环境:7.3,服务:7.3",34,0,21,35,200,,"味道赞:9,服务热情:6,饮品赞:3,价格实惠:3,弄堂小店:3"
118,92909284,10,邹三胖驴肉火烧,,18032749434,,2,92909284,,,"口味:7.7,环境:7.4,服务:7.3",0,0,13,35,200,,"味道赞:3,早餐:3"
3064,102298065,80,柯达乐生活,丰台万达广场店,,,2,102298065,Kodak,,,0,0,3,35,200,,
120,75008906,20,moussy+sly,丰台万达广场店,,,2,75008906,,"周一至周日
10:00-22:00","产品:7.0,环境:6.9,服务:6.9",0,0,9,35,200,,
120,74951937,20,Dr.Kong江博士健康鞋,丰台万达店,63729850,,2,74951937,,"周一至周日
10:00-22:00","产品:7.8,环境:7.8,服务:7.8",0,0,4,40,200,,
121,74952381,20,OnitsukaTiger,丰台万达广场店,83293726,,2,74952381,鬼冢虎|OT,"周一至周日
10:00-22:00","产品:7.4,环境:7.4,服务:7.4",0,0,6,35,200,,
