mainParentCategoryId,shopId,shopType,shopName,branchName,phoneNo,phoneNo2,cityId,shopGroupId,altName,businessHours,score,avgPrice,score4,defaultReviewCount,shopPower,code,dishTagStrList,tag
27813,92595982,70,韩国童话Baby Studio,,4000303096-00153,,2,92595982,,"周一至周日
09:00-23:00",,2041,0,146,50,200,,"服务热情:60,环境优雅:40,干净卫生:21,摄影师好:19,体验很棒:12,效果赞:10,老师超赞:5,交通便利:4"
33950,27547254,30,sistarz星空,,53605893,,2,27547254,北京星月娇辉商贸有限公司,"周一至周日
17:30-02:00","口味:9.0,环境:9.1,服务:9.2",116,0,184,50,200,,"环境优雅:48,服务热情:29,放松舒服:15,体验很棒:12,氛围好:8,价格实惠:6,性价比高:4,卧室很安静:3,场地好:12,刺激好玩:3"
160,27423259,50,Nail Young指青春美甲美睫,通州万达店,13522864302,,2,27423259,,"周一至周日
10:00-21:00

非营业时段
2018-06-26至2018-07-14","效果:9.4,环境:9.4,服务:9.4",304,0,474,50,200,,"服务热情:166,环境优雅:76,效果赞:36,体验很棒:24,技师专业:20,价格实惠:14,干净卫生:10,无推销:4,手部美甲:137,美睫:47"
210,65984568,10,和府捞面,通州万达店,15801560968,,2,74952836,通州万达,"周一至周日
10:00-21:30","口味:8.4,环境:9.0,服务:8.7",46,0,521,45,200,,"肉类好:20,回头客:19,菜品健康:15,主食赞:14,上菜快:9,高大上:9,干净卫生:7,文艺清新:13,闺蜜聚会:5,下午茶:3"
148,23292384,50,爱瑜伽生活馆,通州万达广场店,13511063867,56862790,2,4710819,,"周一至周日
09:00-21:00","效果:9.2,环境:9.2,服务:9.2",5637,0,88,50,200,,"环境优雅:39,服务热情:17,技师专业:15,效果赞:6,高大上:3,体验课:27,空中瑜伽:10,小班:5,大班:4,私教课:3"
26481,19263719,10,西贝莜面村,通州万达店,60538998,,2,507685,,"周六,周日
11:00-21:00

周一至周五
11:00-14:00
17:00-21:00","口味:8.8,环境:8.7,服务:8.6",95,0,4865,45,200,,"回头客:283,上菜快:227,干净卫生:42,朋友聚餐:20,家庭聚餐:14,开放厨房:7,文艺清新:7,现做现卖:5,公司聚餐:5,闺蜜聚会:4"
160,32597217,50,ChenChen美甲美睫,通州万达店,15810680510,,2,17992917,,"周一至周日
10:00-21:00","效果:9.4,环境:9.3,服务:9.4",155,0,462,50,200,,"服务热情:113,效果赞:37,性价比高:21,环境优雅:19,价格实惠:15,无推销:12,技师专业:12,干净卫生:4,美睫:94,手部美甲:87"
1833,96549599,10,一芳台湾水果茶,,18510688985,18500875713,2,98283354,,"周一至周日
10:00-22:00","口味:8.2,环境:8.7,服务:8.9",19,0,258,45,200,,"饮品赞:41,服务热情:38,味道赞:37,菜品健康:11,环境优雅:5,回头客:4,干净卫生:3,文艺清新:8,下午茶:4,价格高:3"
114,67585882,10,郭记大石板烤肉,,15567059121,,2,67585882,,"周一至周日
10:30-00:00","口味:8.6,环境:8.1,服务:9.0",75,0,228,45,200,,"服务热情:97,味道赞:62,性价比高:37,价格实惠:22,菜品不错:12,回头客:11,牛肉赞:8,分量足:4,干净卫生:3,朋友聚餐:3"
117,97420555,10,栗记仙豆糕,通州万达店,13522657339,,2,97420555,,"周一至周日
09:30-21:30","口味:7.8,环境:7.5,服务:7.9",19,0,351,40,200,,"味道赞:61,服务热情:17,菜品健康:14,性价比高:8,饮品赞:5,干净卫生:4,现做现卖:17,拔草:10,闺蜜聚会:5,上菜慢:3"
224,83471535,10,银岭日本料理,,58547133,15701604896,2,83471535,,"周一至周日
11:00-14:00
17:00-22:00

非营业时段
2018-02-14至2018-02-20 全天","口味:8.9,环境:9.1,服务:9.1",208,0,281,50,200,,"菜品健康:56,牛肉赞:15,海鲜棒:13,主食赞:12,回头客:8,干净卫生:5,文艺清新:3,现做现卖:3,闺蜜聚会:3,上菜慢:16"
1833,96309117,10,無邪日式甜品,通州万达广场店,80570181,,2,92923705,,"周一至周日
10:00-22:00","口味:8.6,环境:8.4,服务:8.2",41,0,423,45,200,,"味道赞:94,饮品赞:34,服务热情:33,点心好:21,回头客:6,高大上:3,下午茶:14,文艺清新:4,朋友聚餐:4,闺蜜聚会:3"
248,20874738,10,云海肴云南菜,通州万达广场店,80882291,,2,3438103,,"周一至周日
11:00-21:00

非营业时段
2018-02-16至2018-02-16 19:00-21:30
2018-02-15至2018-02-15 17:00-21:30","口味:8.5,环境:9.0,服务:8.7",91,0,2555,45,200,,"回头客:88,上菜快:54,干净卫生:6,有表演:3,停车方便:3,朋友聚餐:20,闺蜜聚会:18,家庭聚餐:11,请客:9,文艺清新:6"
27813,24345056,70,T&Nature自然主义家庭摄影工作室,,4001105243,,2,24345056,,"周一至周日
09:30-18:30",,1257,0,296,50,200,,"服务热情:136,摄影师好:33,环境优雅:33,效果赞:25,体验很棒:16,干净卫生:13,价格实惠:9,高大上:8,布置温馨:6,性价比高:5"
114,68943059,10,韩时烤肉,通州万达店,60569151,,2,24353324,,"周一至周日
10:30-22:00

非营业时段
2018-02-15至2018-02-15 全天","口味:8.6,环境:8.4,服务:8.8",100,0,687,45,200,,"味道赞:122,菜品不错:28,回头客:22,牛肉赞:22,主食赞:9,干净卫生:8,上菜快:7,朋友聚餐:7,闺蜜聚会:5,分量少:10"
149,27336370,50,简舞舞蹈工作室,通州万达店,18518702277,,2,19325501,简舞拉丁舞肚皮舞爵士舞,"周一至周日
09:00-21:00","效果:9.2,环境:9.2,服务:9.2",0,0,55,50,200,,"技师专业:11,环境优雅:4,体验课:5,爵士舞:5"
224,74466238,10,久悦日式料理,通州万达金街店,53609590,,2,74466238,,"周一至周日
11:30-14:00
17:30-22:00","口味:8.4,环境:8.8,服务:8.5",219,0,560,45,200,,"菜品健康:49,牛肉赞:13,海鲜棒:8,回头客:7,主食赞:4,干净卫生:3,朋友聚餐:9,闺蜜聚会:5,上菜慢:39,分量少:3"
1797,21171866,10,外婆家,万达店,60510660,,2,21171866,,"周一至周五
11:00-14:30
17:00-21:00

周六
11:00-14:30
11:00-15:00
16:30-21:00
17:00-21:00

周日
11:00-15:00
16:30-21:00

非营业时段
2018-02-15至2018-02-16 00:00-14:00","口味:8.2,环境:8.4,服务:7.6",66,0,4309,40,200,,"回头客:194,朋友聚餐:28,家庭聚餐:26,闺蜜聚会:18,请客:13,文艺清新:9,弄堂小店:4,现做现卖:3,下午茶:3,上菜慢:157"
3243,67145735,10,火宴山新疆菜来了,万达广场店,60569070,,2,67145735,,"周一至周日
11:00-14:00
17:00-21:00","口味:8.3,环境:8.4,服务:8.3",81,0,1041,40,200,,"有表演:50,回头客:40,上菜快:22,海鲜棒:10,主食赞:10,干净卫生:9,撸串圣地:5,朋友聚餐:6,开放厨房:4,分量少:31"
